No lote;Vaga1;Vaga 2;Vaga 3;Vaga 4
109/2;308P;309M;39G;-
100/2;370P;371M;318P;-
83/2;282P;283M;247M;-
77/2;22P;23M;27P;-
61/2;103P;104M;57M;-
87/2;294P;295M;398M;-
88/2;296P;297M;399M;-
72/2;174P;175M;118M;-
91/2;302P;303M;403M;-
90/2;300P;301M;402M;-
106/2;42P;43M;113P;-
74-2;170P;171M;114M;-
70/2;176P;177M;212M;-
67/2;182P;183M;208M;-
58/2;97P;98M;54M;-
64/2;109P;110M;206M;-
79/2;34P;35M;117P;-
62/2;105P;106M;58M;-
108/2;123P;124M;16M;-
95/2;380P;381M;38G;-
66/2;184P;185M;122M;-
69/2;178P;179M;211M;-
94/2;230P;231M;120M;-
80/2;236P;237P;238M;-
98/2;374P;375M;115P;-
89/2;298P;299M;400M;-
110/2;310P;311M;40G;-
82/2;280P;281M;245M;-
84/2;284P;285M;248M;-
102/2;366P;367M;317M;-
93/2;307P;306M;121P;-
57/2;95P;96M;53M;-
63/2;107P;108M;59M;-
101/2;368P;369M;313M;-
86/2;288P;289M;252M;-
60/2;101P;102M;55M;-
105-2;162P;163M;31M;-
75/2;168P;169M;116M;-
85/2;286P;287M;249M;-
104/2;362P;363M;315M;-
59/2;99P;100M;56M;-
96/2;378P;379M;312P;-
97/2;376P;377M;314P;-
78/2;24P;25M;26P;-
81/2;278P;279M;246M;-
65/2;111P;112M;207M;-
103/2;364P;365M;320P;-
68/2;180P;181M;210M;-
73/2;172P;173M;37G;-
71/2;44P;45P;46M;-
76/2;20P;21M;28P;-
107/2;32P;33M;36G;-
92/2;304P;305M;227M;-
99/2;372P;373M;316P;-
112/2;164P;165M;166P;167M
111/2;290P;291M;292P;293M
